CATEGORY,ID,BRAND,PRICE,PERFORMANCE,DESCRIPTION
monitor,0,AOC,499,7,AOC 24 IPS MONITOR 1920x1080
monitor,1,AOC,629,7,AOC 27 IPS MONITOR 1920x1080
monitor,2,ACER,1899,9,ACER 27 TN MONITOR 1920x1080
monitor,3,ASUS,4099,10,ASUS 34 IPS MONITOR 3440x1440
monitor,4,BENQ,999,8,BENQ 24 TN MONITOR 1920x1080
monitor,5,DELL,329,6,DELL 18.5 TN MONITOR 1366x768
monitor,6,LG,2199,9,LG 34 IPS MONITOR 2560x1080
monitor,7,SAMSUNG,309,6,SAMSUNG 21.5 TN MONITOR 1920x1081
monitor,8,SAMSUNG,389,6,SAMSUNG 23.5 PLS MONITOR 1920x1080
monitor,9,VIEWSONIC,659,7,VIEWSONIC 27 IPS MONITOR 1920x1080
cpu,1,INTEL,249,6,INTEL P. GOLD G5420 2/4 3.8GHz
cpu,2,INTEL,319,7,INTEL CORE I3 9100F 4/4 3.6GHz
cpu,3,INTEL,599,8,INTEL CORE I5 9400F 6/6 2.9GHz
cpu,4,INTEL,1479,9,INTEL CORE I7 9700F 8/8 3.0GHz
cpu,5,INTEL,2059,10,INTEL CORE I9 9900KF 8/16 3.6GHz
cpu,6,AMD,179,5,AMD APU A6 9500 2/2 3.5GHz
cpu,7,AMD,209,6,AMD ATHLON 3000G 2/4 3.2GHz
cpu,8,AMD,399,7,AMD RYZEN 3 3200G 4/4 3.6GHz
cpu,9,AMD,659,8,AMD RYZEN 5 3400G 4/8 3.7GHz
cpu,10,AMD,1499,9,AMD RYZEN 7 3800X 8/16 3.9GHz
mainboard,1,ASROCK,455,6,ASROCK B450 STEEL LEGEND
mainboard,2,ASROCK,785,6,ASROCK X570 PHANTOM GAMING
mainboard,3,ASUS,999,7,ASUS TUF X570 PLUS GAMING (WI-FI)
mainboard,4,ASUS,1539,8,ASUS STRIX X570-E GAMING
mainboard,5,GALAX,249,5,GALAX B450M
mainboard,6,GIGABYTE,1629,9,GIGABYTE X570 AORUS MASTER
mainboard,7,GIGABYTE,1299,8,GIGABYTE X570 AORUS PRO WIFI
mainboard,8,MSI,1350,8,MSI X570 UNIFY
mainboard,9,MSI,1690,10,MSI X570 ACE
mainboard,10,MSI,525,6,MSI B450 TOMAHAWK MAX
graphic card,1,NVIDIA,769,6,ASUS GTX1650 SUPER 4G PH OC
graphic card,2,NVIDIA,949,8,GALAX GTX1660 6G EX WHITE ( 1COC )
graphic card,3,NVIDIA,1359,9,GIGABYTE GTX1660 SUPER 6G GAMING OC
graphic card,4,NVIDIA,2479,9,MSI RTX2070 SUPER 8G VENTUS OC
graphic card,5,NVIDIA,2619,10,ZOTAC RTX2070 SUPER 8G AMP EXTREME
graphic card,6,AMD,629,5,GIGABYTE RX 570 GAMING 4G
graphic card,7,AMD,1459,8,MSI RX 5600XT MECH 6GB OC
graphic card,8,AMD,1959,8,SAPPHIRE RX 5700XT 8G PULSE
graphic card,9,AMD,859,6,POWER COLOR RX 5500XT 4G DUAL FAN
graphic card,10,AMD,2159,10,XFX RX 5700XT THICC II 8GB
power supply,1,1ST PLAYER,195,5,DX/AX  BRONZE 500w
power supply,2,1ST PLAYER,219,5,DX/AX  BRONZE 600w
power supply,3,CORSAIR,369,7,CXM 650w
power supply,4,CORSAIR,449,7,CXM 750w
power supply,5,COOLER MASTER,429,8,MWE GOLD 659w
power supply,6,COOLER MASTER,369,8,MWE GOLD 550w
power supply,7,EVGA,789,9,SUPER NOVA 1000w
power supply,8,EVGA,659,9,SUPER NOVA 850w
power supply,9,SUPER FLOWER,519,7,LEADEX III GOLD ARGB 650w
power supply,10,SUPER FLOWER,669,8,LEADEX III GOLD ARGB 850w
ram,1,CORSAIR,779,9,VENGEANCE LPX 32GB
ram,2,CORSAIR,399,5,VENGEANCE LPX 16GB
ram,3,G.SKILL,169,6,VALUE 8GB
ram,4,G.SKILL,199,5,AEGIS 8GB
ram,5,GALAX,179,5,GAMER II RGB 8GB
ram,6,GALAX,199,6,GAMER II RGB 8GB
ram,7,GEIL,169,6,PRISTINE (RYZEN) 8GB
ram,8,GEIL,199,6,EVO POTENZA (RYZEN) 8GB
ram,9,KINGSTON,780,9,KVR (ECC) 16GB
ram,10,KINGSTON,410,7,KVR (ECC) 8GB
storage,1,ADATA,230,7,ADATA XPG SX6000 LITE 256GB
storage,2,ADATA,249,7,ADATA XPG SX6000 PRO 256GB
storage,3,CORSAIR,489,8,CORSAIR MP510 480GB
storage,4,CORSAIR,2099,8,CORSAIR MP600 2TB PCIE GEN 4
storage,5,GIGABYTE,599,7,GIGABYTE AORUS 500G PCIE GEN 4
storage,6,GIGABYTE,1099,7,GIGABYTE AORUS 1TB PCIE GEN 4
storage,7,PATRIOT,149,9,PATRIOT SCORCH 128GB
storage,8,PATRIOT,209,9,PATRIOT SCORCH 256GB
storage,9,SAMSUNG,289,8,SAMSUNG 970 EVO PLUS 250GB
storage,10,SAMSUNG,579,8,SAMSUNG 970 EVO PLUS 500GB
